,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,1.0,0.972972972972973,0.9863013698630136,37.0
Leukemia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.6,1.0,0.75,3.0
Normocytic hypochromic anemia,1.0,0.9814814814814815,0.9906542056074766,54.0
Normocytic normochromic anemia,1.0,1.0,1.0,51.0
Other microcytic anemia,0.8461538461538461,1.0,0.9166666666666666,11.0
Thrombocytopenia,1.0,1.0,1.0,15.0
accuracy,0.979757085020243,0.979757085020243,0.979757085020243,0.979757085020243
macro avg,0.9261158594491928,0.9253287475509698,0.9101584288564685,247.0
weighted avg,0.9842416692619121,0.979757085020243,0.9803695080380957,247.0
