,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,1.0,0.972972972972973,0.9863013698630136,37.0
Leukemia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.5,1.0,0.6666666666666666,3.0
Normocytic hypochromic anemia,1.0,1.0,1.0,54.0
Normocytic normochromic anemia,1.0,1.0,1.0,51.0
Other microcytic anemia,0.9166666666666666,1.0,0.9565217391304348,11.0
Thrombocytopenia,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.979757085020243,0.979757085020243,0.979757085020243,0.979757085020243
macro avg,0.9228395061728395,0.9199789533122866,0.9025345149567205,247.0
weighted avg,0.9861673414304992,0.979757085020243,0.9810814000016074,247.0
